Time,Mean_Minutes,CI_Lower,CI_Upper
18:40,89.0,88.80321126441889,89.19678873558111
18:50,89.0,88.80321126441889,89.19678873558111
19:00,89.03125,88.84488421005643,89.21761578994357
19:10,89.03125,88.76021861046569,89.30228138953431
19:20,89.0,88.73598020602064,89.26401979397936
19:30,89.15625,88.80302244209817,89.50947755790183
19:40,88.875,88.47411086722862,89.27588913277138
19:50,88.875,88.47411086722862,89.27588913277138
20:00,88.75,88.39797360802753,89.10202639197247
20:10,88.03125,87.6632563798984,88.3992436201016
20:20,88.03125,87.6632563798984,88.3992436201016
20:30,87.5625,87.20030713790186,87.92469286209814
20:40,87.40625,87.10317777729159,87.70932222270841
20:50,87.0,86.69513620174925,87.30486379825075
21:00,86.96875,86.71240481704822,87.22509518295178
21:10,86.96875,86.64558029338411,87.29191970661589
